pA;pB;strat1;strat6
0.5;0.5;0.5222222222222223;0.58
0.52;0.48;0.48777777777777775;0.55
0.5;0.46;0.5222222222222223;0.47
0.52;0.48;0.5188888888888888;0.5
0.5;0.46;0.5233333333333333;0.55
0.48;0.48;0.5377777777777778;0.56
0.5;0.5;0.5333333333333333;0.51
0.52;0.52;0.5377777777777778;0.48
0.54;0.5;0.5522222222222222;0.52
0.56;0.52;0.55;0.56
0.58;0.5;0.5666666666666667;0.56
0.56;0.48;0.57;0.63
0.58;0.5;0.5633333333333334;0.6
0.6;0.52;0.57;0.59
0.62;0.54;0.5833333333333334;0.53
0.64;0.56;0.5944444444444444;0.62
0.62;0.58;0.6055555555555555;0.66
0.6;0.6;0.6055555555555555;0.53
0.58;0.62;0.5922222222222222;0.54
0.56;0.64;0.5855555555555556;0.66
0.54;0.62;0.5511111111111111;0.71
0.52;0.6;0.5433333333333333;0.57
0.54;0.58;0.5244444444444445;0.55
0.56;0.56;0.5277777777777778;0.66
0.58;0.58;0.5177777777777778;0.59
0.56;0.56;0.5288888888888889;0.57
0.54;0.54;0.5244444444444445;0.56
0.52;0.52;0.5222222222222223;0.55
0.5;0.54;0.5066666666666667;0.46
0.48;0.52;0.5111111111111111;0.53
0.5;0.5;0.4911111111111111;0.58
0.48;0.48;0.5077777777777778;0.45
0.46;0.5;0.48;0.57
0.44;0.48;0.4822222222222222;0.43
0.42;0.5;0.4588888888888889;0.45
0.4;0.52;0.45222222222222225;0.43
0.42;0.5;0.4288888888888889;0.51
0.44;0.52;0.4211111111111111;0.49
0.46;0.5;0.44;0.48
0.48;0.52;0.4388888888888889;0.46
0.46;0.5;0.4411111111111111;0.36
0.48;0.52;0.45222222222222225;0.54
0.5;0.54;0.4388888888888889;0.51
0.48;0.52;0.42444444444444446;0.49
0.5;0.54;0.41888888888888887;0.46
0.52;0.52;0.4255555555555556;0.32
0.5;0.54;0.43222222222222223;0.36
0.52;0.52;0.42777777777777776;0.44
0.5;0.54;0.4222222222222222;0.42
0.52;0.56;0.4288888888888889;0.44
