pA;pB;strat1;strat2
0.5;0.5;0.492;0.512
0.48;0.52;0.492;0.496
0.46;0.54;0.516;0.5013333333333333
0.44;0.52;0.52;0.5146666666666667
0.46;0.54;0.404;0.488
0.48;0.56;0.456;0.4573333333333333
0.5;0.58;0.464;0.43733333333333335
0.48;0.6;0.456;0.4
0.46;0.58;0.464;0.356
0.48;0.56;0.432;0.3466666666666667
0.46;0.54;0.432;0.328
0.44;0.52;0.392;0.2773333333333333
0.46;0.5;0.408;0.244
0.44;0.48;0.412;0.20133333333333334
0.46;0.46;0.424;0.16
0.48;0.48;0.404;0.09733333333333333
0.46;0.5;0.452;0.08133333333333333
0.48;0.48;0.444;0.06933333333333333
0.5;0.5;0.456;0.072
0.48;0.48;0.436;0.09333333333333334
0.46;0.5;0.496;0.08933333333333333
0.44;0.48;0.456;0.10666666666666667
0.46;0.46;0.444;0.10533333333333333
0.44;0.48;0.492;0.1
0.42;0.5;0.468;0.09333333333333334
0.44;0.48;0.412;0.09066666666666667
0.42;0.5;0.416;0.064
0.44;0.48;0.432;0.06133333333333333
0.46;0.46;0.424;0.07333333333333333
0.48;0.44;0.448;0.056
0.46;0.46;0.452;0.06
0.44;0.48;0.468;0.068
0.46;0.46;0.492;0.08
0.44;0.44;0.452;0.07066666666666667
0.46;0.42;0.46;0.06266666666666666
0.44;0.44;0.468;0.06266666666666666
0.46;0.42;0.476;0.07333333333333333
0.44;0.44;0.496;0.07066666666666667
0.46;0.46;0.476;0.06666666666666667
0.44;0.48;0.484;0.07466666666666667
0.46;0.5;0.484;0.088
0.48;0.48;0.492;0.07333333333333333
0.46;0.5;0.464;0.10133333333333333
0.44;0.52;0.488;0.09066666666666667
0.42;0.54;0.476;0.108
0.44;0.52;0.44;0.12533333333333332
0.46;0.5;0.452;0.11466666666666667
0.44;0.48;0.416;0.10266666666666667
0.42;0.5;0.46;0.09066666666666667
0.44;0.48;0.456;0.08666666666666667
0.46;0.46;0.428;0.10266666666666667
0.44;0.44;0.448;0.07066666666666667
0.42;0.42;0.46;0.06533333333333333
0.4;0.44;0.476;0.06533333333333333
0.42;0.46;0.476;0.058666666666666666
0.4;0.48;0.468;0.06533333333333333
0.42;0.46;0.46;0.06666666666666667
0.44;0.44;0.456;0.07866666666666666
0.42;0.42;0.444;0.08933333333333333
0.44;0.4;0.46;0.08933333333333333
0.46;0.42;0.452;0.08533333333333333
0.44;0.44;0.48;0.084
0.42;0.42;0.432;0.1
0.44;0.4;0.496;0.08666666666666667
0.46;0.42;0.508;0.10533333333333333
0.44;0.44;0.504;0.1
0.46;0.46;0.468;0.096
0.48;0.44;0.48;0.08266666666666667
0.5;0.46;0.476;0.08933333333333333
0.52;0.44;0.508;0.1
0.54;0.46;0.504;0.108
0.52;0.48;0.52;0.116
0.5;0.5;0.54;0.112
0.48;0.48;0.476;0.132
0.46;0.46;0.48;0.13066666666666665
0.48;0.48;0.484;0.124
0.46;0.46;0.464;0.10133333333333333
0.48;0.44;0.488;0.10666666666666667
0.46;0.46;0.476;0.10933333333333334
0.44;0.48;0.488;0.10266666666666667
0.42;0.5;0.496;0.096
0.4;0.52;0.5;0.09733333333333333
0.42;0.5;0.412;0.116
0.44;0.48;0.476;0.09066666666666667
0.46;0.46;0.432;0.08933333333333333
0.44;0.44;0.42;0.08933333333333333
0.46;0.46;0.444;0.06933333333333333
0.48;0.44;0.412;0.088
0.5;0.42;0.452;0.07333333333333333
0.48;0.4;0.448;0.072
0.46;0.42;0.496;0.07866666666666666
0.44;0.4;0.52;0.08666666666666667
0.46;0.38;0.516;0.08933333333333333
0.48;0.36;0.524;0.1
0.46;0.38;0.524;0.11333333333333333
0.44;0.4;0.556;0.11866666666666667
0.46;0.38;0.524;0.132
0.48;0.4;0.536;0.12
0.5;0.42;0.572;0.152
0.48;0.44;0.592;0.17066666666666666
0.46;0.46;0.536;0.192
0.48;0.48;0.556;0.208
0.46;0.46;0.544;0.216
0.48;0.48;0.552;0.21733333333333332
0.46;0.5;0.548;0.18933333333333333
0.48;0.48;0.5;0.18
0.46;0.5;0.5;0.16
0.48;0.52;0.448;0.164
0.46;0.54;0.496;0.156
0.44;0.56;0.44;0.148
0.46;0.54;0.416;0.11466666666666667
0.44;0.52;0.412;0.09466666666666666
0.46;0.5;0.436;0.08133333333333333
0.48;0.52;0.476;0.08133333333333333
0.46;0.54;0.428;0.08933333333333333
0.48;0.52;0.468;0.09333333333333334
0.46;0.5;0.452;0.09866666666666667
0.48;0.52;0.44;0.084
0.5;0.5;0.408;0.076
0.52;0.48;0.42;0.06533333333333333
0.5;0.5;0.444;0.05466666666666667
0.48;0.52;0.456;0.08
0.46;0.54;0.412;0.084
0.44;0.52;0.432;0.07733333333333334
0.46;0.54;0.38;0.07866666666666666
0.48;0.52;0.396;0.07066666666666667
0.46;0.5;0.444;0.06
0.48;0.52;0.472;0.06133333333333333
0.46;0.5;0.456;0.06266666666666666
0.48;0.52;0.496;0.06266666666666666
0.5;0.54;0.484;0.07866666666666666
0.48;0.52;0.464;0.088
0.5;0.5;0.452;0.06133333333333333
0.52;0.48;0.464;0.084
0.54;0.46;0.464;0.09066666666666667
0.56;0.44;0.476;0.08266666666666667
0.54;0.46;0.476;0.10266666666666667
0.52;0.48;0.5;0.09866666666666667
0.54;0.46;0.572;0.09733333333333333
0.52;0.44;0.532;0.11866666666666667
0.54;0.46;0.592;0.11866666666666667
0.56;0.48;0.548;0.15333333333333332
0.58;0.5;0.568;0.16133333333333333
0.6;0.48;0.58;0.18133333333333335
0.58;0.46;0.62;0.18933333333333333
0.56;0.48;0.628;0.236
