pA;pB;strat1;strat6
0.5;0.5;0.5088888888888888;0.57
0.48;0.48;0.5033333333333333;0.49
0.46;0.46;0.5088888888888888;0.53
0.48;0.48;0.5077777777777778;0.59
0.46;0.46;0.5088888888888888;0.5
0.44;0.44;0.5033333333333333;0.5
0.46;0.46;0.5144444444444445;0.55
0.48;0.48;0.5088888888888888;0.55
0.46;0.5;0.5377777777777778;0.56
0.48;0.48;0.49;0.54
0.46;0.46;0.5077777777777778;0.53
0.44;0.48;0.48444444444444446;0.53
0.46;0.5;0.4855555555555556;0.48
0.44;0.48;0.4777777777777778;0.5
0.46;0.5;0.4911111111111111;0.54
0.48;0.52;0.4811111111111111;0.4
0.5;0.54;0.4688888888888889;0.44
0.52;0.52;0.45444444444444443;0.45
0.54;0.54;0.4633333333333333;0.45
0.56;0.56;0.47333333333333333;0.48
0.54;0.54;0.47;0.41
0.52;0.52;0.4677777777777778;0.44
0.54;0.54;0.48333333333333334;0.46
0.52;0.56;0.4633333333333333;0.43
0.5;0.54;0.4711111111111111;0.35
0.52;0.52;0.46111111111111114;0.48
0.5;0.54;0.46555555555555556;0.47
0.52;0.56;0.4388888888888889;0.4
0.5;0.58;0.4388888888888889;0.39
0.48;0.6;0.4311111111111111;0.36
0.46;0.58;0.40555555555555556;0.44
0.44;0.56;0.3988888888888889;0.44
0.42;0.54;0.4;0.44
0.44;0.56;0.3811111111111111;0.38
0.42;0.54;0.37777777777777777;0.27
0.44;0.56;0.36777777777777776;0.32
0.42;0.54;0.35;0.32
0.4;0.52;0.3611111111111111;0.29
0.42;0.5;0.33555555555555555;0.31
0.4;0.52;0.35555555555555557;0.37
0.38;0.5;0.34555555555555556;0.3
0.36;0.52;0.34;0.3
0.34;0.54;0.3244444444444444;0.25
0.32;0.52;0.30333333333333334;0.21
0.3;0.5;0.30777777777777776;0.19
0.32;0.52;0.29444444444444445;0.22
0.3;0.54;0.29444444444444445;0.25
0.28;0.52;0.27666666666666667;0.24
0.26;0.54;0.2677777777777778;0.22
0.28;0.56;0.2588888888888889;0.22
0.3;0.58;0.24222222222222223;0.18
0.32;0.6;0.22333333333333333;0.17
0.34;0.62;0.22444444444444445;0.16
0.36;0.6;0.20777777777777778;0.13
0.38;0.58;0.18666666666666668;0.12
0.4;0.56;0.20222222222222222;0.15
0.42;0.54;0.20666666666666667;0.12
0.4;0.52;0.21666666666666667;0.17
0.38;0.5;0.22777777777777777;0.16
0.4;0.48;0.24555555555555555;0.14
0.38;0.5;0.2677777777777778;0.19
0.36;0.52;0.2733333333333333;0.18
0.34;0.5;0.2733333333333333;0.21
0.36;0.48;0.27444444444444444;0.2
0.38;0.5;0.29333333333333333;0.18
0.4;0.52;0.29777777777777775;0.13
0.38;0.54;0.31222222222222223;0.18
0.4;0.52;0.32222222222222224;0.17
0.42;0.5;0.32555555555555554;0.18
0.44;0.52;0.3188888888888889;0.23
0.42;0.54;0.31666666666666665;0.24
0.4;0.52;0.33111111111111113;0.3
0.42;0.54;0.3244444444444444;0.32
0.44;0.52;0.34;0.16
0.46;0.5;0.34444444444444444;0.3
0.44;0.48;0.37666666666666665;0.33
0.42;0.5;0.39222222222222225;0.38
0.4;0.52;0.3811111111111111;0.41
0.38;0.54;0.38333333333333336;0.27
0.4;0.52;0.35777777777777775;0.26
0.38;0.54;0.35777777777777775;0.26
0.36;0.52;0.3411111111111111;0.29
0.38;0.5;0.3466666666666667;0.24
0.4;0.48;0.3377777777777778;0.29
0.42;0.46;0.35;0.23
0.44;0.44;0.3611111111111111;0.33
0.42;0.46;0.4077777777777778;0.31
0.44;0.44;0.3877777777777778;0.32
0.42;0.42;0.43666666666666665;0.37
0.44;0.44;0.4022222222222222;0.42
0.46;0.42;0.42444444444444446;0.36
0.44;0.44;0.44333333333333336;0.41
0.46;0.46;0.4477777777777778;0.38
0.44;0.44;0.44333333333333336;0.46
0.42;0.42;0.47444444444444445;0.44
0.44;0.44;0.46111111111111114;0.51
0.46;0.46;0.4777777777777778;0.47
0.44;0.44;0.4677777777777778;0.4
0.42;0.46;0.4766666666666667;0.37
0.44;0.44;0.45666666666666667;0.5
0.46;0.42;0.4722222222222222;0.39
0.44;0.44;0.49;0.39
0.46;0.42;0.4688888888888889;0.4
0.44;0.44;0.4955555555555556;0.46
0.42;0.46;0.48;0.47
0.44;0.44;0.46;0.46
0.42;0.42;0.4811111111111111;0.46
0.4;0.44;0.4777777777777778;0.48
0.42;0.46;0.49777777777777776;0.32
0.44;0.44;0.4777777777777778;0.38
0.46;0.46;0.5044444444444445;0.56
0.48;0.44;0.49777777777777776;0.52
0.5;0.46;0.4922222222222222;0.51
0.52;0.44;0.5033333333333333;0.49
0.5;0.46;0.5233333333333333;0.45
0.52;0.48;0.5022222222222222;0.57
0.54;0.46;0.5177777777777778;0.58
0.52;0.44;0.5577777777777778;0.6
0.5;0.42;0.5611111111111111;0.59
0.52;0.4;0.5477777777777778;0.47
0.5;0.42;0.5788888888888889;0.44
0.52;0.4;0.5755555555555556;0.59
0.5;0.42;0.5822222222222222;0.58
0.52;0.44;0.6122222222222222;0.65
0.54;0.46;0.5911111111111111;0.67
0.52;0.44;0.5888888888888889;0.56
0.54;0.46;0.61;0.57
0.52;0.48;0.6088888888888889;0.58
0.5;0.5;0.6011111111111112;0.63
0.48;0.48;0.5822222222222222;0.62
0.5;0.5;0.5811111111111111;0.6
0.52;0.48;0.5777777777777777;0.61
0.5;0.5;0.5788888888888889;0.66
0.48;0.48;0.5655555555555556;0.59
0.46;0.46;0.5633333333333334;0.62
0.48;0.48;0.5466666666666666;0.59
0.46;0.46;0.57;0.55
0.48;0.44;0.5366666666666666;0.57
0.46;0.42;0.5444444444444444;0.56
0.44;0.4;0.5666666666666667;0.53
0.42;0.38;0.5755555555555556;0.53
0.44;0.36;0.58;0.72
0.42;0.34;0.5944444444444444;0.58
0.44;0.32;0.6044444444444445;0.68
0.42;0.3;0.6011111111111112;0.62
0.44;0.32;0.5955555555555555;0.6
0.46;0.34;0.6077777777777778;0.56
0.44;0.36;0.6;0.64
0.46;0.38;0.6144444444444445;0.5
0.44;0.4;0.5866666666666667;0.69
0.42;0.42;0.5988888888888889;0.57
0.44;0.44;0.5666666666666667;0.57
0.46;0.46;0.5722222222222222;0.57
0.48;0.48;0.5166666666666667;0.52
0.46;0.5;0.5166666666666667;0.57
0.48;0.48;0.5;0.37
0.46;0.46;0.5255555555555556;0.46
0.48;0.44;0.5011111111111111;0.55
0.46;0.46;0.5144444444444445;0.44
0.44;0.48;0.5144444444444445;0.45
0.46;0.46;0.53;0.46
0.48;0.48;0.5088888888888888;0.48
0.5;0.46;0.5288888888888889;0.52
0.52;0.44;0.5111111111111111;0.56
0.54;0.46;0.5311111111111111;0.54
0.52;0.48;0.5177777777777778;0.58
0.5;0.5;0.5433333333333333;0.58
0.48;0.52;0.5333333333333333;0.55
0.46;0.54;0.5322222222222223;0.5
0.44;0.56;0.4922222222222222;0.47
0.42;0.58;0.5011111111111111;0.44
0.4;0.6;0.4777777777777778;0.46
0.42;0.58;0.45111111111111113;0.49
0.44;0.56;0.42777777777777776;0.46
0.42;0.54;0.4166666666666667;0.41
0.44;0.56;0.4077777777777778;0.37
0.46;0.58;0.3933333333333333;0.44
0.44;0.6;0.38;0.34
0.46;0.58;0.36;0.37
0.48;0.56;0.3488888888888889;0.35
0.5;0.54;0.33666666666666667;0.37
0.52;0.56;0.3433333333333333;0.37
0.5;0.58;0.34555555555555556;0.4
0.52;0.6;0.35555555555555557;0.34
0.54;0.58;0.3511111111111111;0.4
0.52;0.6;0.37222222222222223;0.35
0.5;0.58;0.36666666666666664;0.39
