pA;pB;strat1;strat6
0.5;0.5;0.4866666666666667;0.56
0.52;0.48;0.4777777777777778;0.4
0.54;0.46;0.5077777777777778;0.42
0.56;0.48;0.5244444444444445;0.5
0.54;0.46;0.5155555555555555;0.52
0.56;0.48;0.5377777777777778;0.49
0.58;0.46;0.5444444444444444;0.5
0.56;0.44;0.5744444444444444;0.57
0.54;0.46;0.5755555555555556;0.58
0.56;0.48;0.5933333333333334;0.59
0.54;0.46;0.5966666666666667;0.59
0.52;0.48;0.5933333333333334;0.64
0.54;0.5;0.5955555555555555;0.63
0.52;0.52;0.5922222222222222;0.67
0.54;0.5;0.5622222222222222;0.63
0.56;0.48;0.5722222222222222;0.6
0.58;0.46;0.5777777777777777;0.68
0.6;0.48;0.5844444444444444;0.6
0.58;0.46;0.6111111111111112;0.65
0.6;0.48;0.6077777777777778;0.69
0.58;0.46;0.6288888888888889;0.67
0.6;0.48;0.6333333333333333;0.67
0.58;0.46;0.6611111111111111;0.69
0.56;0.44;0.66;0.59
0.54;0.42;0.6544444444444445;0.66
0.56;0.4;0.6433333333333333;0.71
0.54;0.42;0.66;0.77
0.52;0.44;0.6577777777777778;0.72
0.5;0.42;0.6444444444444445;0.69
0.52;0.4;0.6411111111111111;0.75
0.5;0.38;0.6377777777777778;0.81
0.52;0.4;0.6588888888888889;0.71
0.5;0.38;0.6388888888888888;0.74
0.52;0.4;0.6622222222222223;0.69
0.54;0.38;0.6644444444444444;0.75
0.52;0.36;0.6733333333333333;0.73
0.5;0.38;0.6833333333333333;0.78
0.52;0.36;0.6822222222222222;0.71
0.54;0.38;0.6655555555555556;0.77
0.56;0.36;0.6766666666666666;0.74
0.54;0.34;0.6722222222222223;0.7
0.56;0.32;0.7033333333333334;0.75
0.54;0.3;0.7188888888888889;0.82
0.56;0.32;0.7388888888888889;0.79
0.54;0.34;0.76;0.8
0.56;0.36;0.7666666666666667;0.8
0.54;0.38;0.7611111111111111;0.73
0.56;0.4;0.7622222222222222;0.79
0.58;0.42;0.7433333333333333;0.83
0.6;0.44;0.7577777777777778;0.83
0.58;0.46;0.7611111111111111;0.87
0.56;0.48;0.7511111111111111;0.85
0.58;0.46;0.7677777777777778;0.86
0.56;0.48;0.7377777777777778;0.85
0.58;0.5;0.7422222222222222;0.87
0.6;0.48;0.7244444444444444;0.85
0.62;0.5;0.72;0.79
0.6;0.48;0.7122222222222222;0.84
0.62;0.46;0.7288888888888889;0.81
0.6;0.48;0.7088888888888889;0.81
0.58;0.46;0.74;0.76
0.56;0.44;0.7255555555555555;0.79
0.54;0.42;0.7388888888888889;0.83
0.52;0.4;0.72;0.79
0.54;0.42;0.7066666666666667;0.77
0.56;0.44;0.7133333333333334;0.81
0.54;0.42;0.7077777777777777;0.78
0.52;0.4;0.7144444444444444;0.81
0.5;0.38;0.6988888888888889;0.83
0.52;0.36;0.72;0.73
0.54;0.38;0.7011111111111111;0.8
0.52;0.4;0.7266666666666667;0.79
0.54;0.42;0.6922222222222222;0.77
0.52;0.44;0.7077777777777777;0.78
0.54;0.46;0.6766666666666666;0.71
0.52;0.44;0.66;0.73
0.54;0.46;0.6633333333333333;0.65
0.56;0.44;0.6522222222222223;0.62
0.54;0.42;0.6566666666666666;0.63
0.52;0.44;0.6644444444444444;0.66
0.5;0.46;0.6711111111111111;0.73
0.52;0.48;0.6644444444444444;0.65
0.5;0.46;0.6388888888888888;0.7
0.48;0.48;0.6233333333333333;0.67
0.5;0.5;0.6033333333333334;0.74
0.52;0.52;0.5811111111111111;0.66
0.54;0.5;0.56;0.6
0.52;0.52;0.5666666666666667;0.6
0.54;0.5;0.5511111111111111;0.6
