pA;pB;strat1;strat6
0.5;0.5;0.55;0.49666666666666665
0.52;0.48;0.43;0.5
0.54;0.5;0.51;0.48
0.52;0.52;0.41;0.48333333333333334
0.5;0.54;0.6;0.45444444444444443
0.48;0.52;0.53;0.4811111111111111
0.5;0.5;0.51;0.5
0.48;0.48;0.48;0.48777777777777775
0.5;0.46;0.41;0.46
0.48;0.44;0.35;0.5
0.5;0.46;0.41;0.45444444444444443
0.48;0.44;0.39;0.4666666666666667
0.46;0.46;0.4;0.48333333333333334
0.48;0.44;0.46;0.46444444444444444
0.46;0.46;0.45;0.47444444444444445
0.48;0.48;0.48;0.46111111111111114
0.46;0.46;0.47;0.45666666666666667
0.48;0.48;0.51;0.4722222222222222
0.46;0.5;0.48;0.47555555555555556
0.44;0.52;0.49;0.4633333333333333
0.46;0.54;0.47;0.49666666666666665
0.44;0.52;0.48;0.47
0.46;0.54;0.41;0.4855555555555556
0.44;0.52;0.42;0.47333333333333333
0.42;0.54;0.39;0.45111111111111113
0.44;0.56;0.4;0.4266666666666667
0.46;0.58;0.41;0.4022222222222222
0.48;0.56;0.37;0.41333333333333333
0.46;0.54;0.33;0.41444444444444445
0.48;0.52;0.39;0.3877777777777778
0.46;0.54;0.37;0.38
0.48;0.52;0.37;0.3411111111111111
0.46;0.54;0.39;0.36333333333333334
0.44;0.52;0.4;0.3522222222222222
0.42;0.54;0.41;0.34444444444444444
0.4;0.52;0.39;0.3522222222222222
0.38;0.5;0.34;0.33
0.4;0.48;0.31;0.3522222222222222
0.42;0.5;0.43;0.31333333333333335
0.44;0.52;0.4;0.3488888888888889
0.46;0.54;0.42;0.4033333333333333
0.48;0.52;0.42;0.39444444444444443
0.46;0.54;0.39;0.3844444444444444
0.44;0.52;0.38;0.4
0.46;0.54;0.31;0.3788888888888889
0.48;0.56;0.35;0.35777777777777775
0.46;0.54;0.31;0.37333333333333335
0.44;0.56;0.39;0.3433333333333333
0.42;0.58;0.27;0.3377777777777778
0.4;0.6;0.37;0.28888888888888886
