pA;pB;strat1;strat6
0.5;0.5;0.51;0.54
0.48;0.52;0.4988888888888889;0.5
0.5;0.54;0.4766666666666667;0.52
0.48;0.56;0.5077777777777778;0.54
0.5;0.54;0.4666666666666667;0.48
0.48;0.52;0.4822222222222222;0.46
0.5;0.5;0.47;0.49
0.48;0.52;0.4988888888888889;0.52
0.5;0.5;0.48333333333333334;0.42
0.52;0.48;0.4922222222222222;0.5
0.5;0.5;0.4888888888888889;0.41
0.52;0.52;0.5;0.43
0.54;0.5;0.47;0.44
0.52;0.48;0.4722222222222222;0.45
0.5;0.5;0.49666666666666665;0.49
0.52;0.48;0.47;0.54
0.5;0.46;0.4822222222222222;0.46
0.48;0.44;0.4688888888888889;0.54
0.46;0.46;0.5055555555555555;0.45
0.44;0.48;0.4911111111111111;0.48
0.46;0.5;0.49;0.52
0.44;0.52;0.46;0.51
0.46;0.54;0.46;0.49
0.48;0.56;0.45;0.53
0.46;0.54;0.43333333333333335;0.55
0.48;0.52;0.4411111111111111;0.4
0.5;0.54;0.44222222222222224;0.39
0.48;0.52;0.44;0.48
0.46;0.5;0.4311111111111111;0.34
0.44;0.48;0.45444444444444443;0.38
0.42;0.46;0.4488888888888889;0.38
0.4;0.44;0.4588888888888889;0.4
0.42;0.42;0.45;0.49
0.4;0.4;0.47555555555555556;0.45
0.42;0.38;0.4711111111111111;0.51
0.44;0.4;0.4811111111111111;0.44
0.46;0.42;0.5055555555555555;0.52
0.44;0.44;0.4988888888888889;0.54
0.42;0.46;0.5044444444444445;0.5
0.4;0.44;0.5144444444444445;0.58
0.38;0.46;0.5022222222222222;0.53
0.4;0.48;0.49;0.44
0.42;0.5;0.4666666666666667;0.39
0.4;0.52;0.45444444444444443;0.51
0.42;0.54;0.46555555555555556;0.46
0.4;0.56;0.43;0.55
0.42;0.58;0.41;0.43
0.44;0.6;0.3888888888888889;0.33
0.46;0.58;0.36777777777777776;0.37
0.48;0.6;0.36;0.37
0.46;0.62;0.35;0.33
0.44;0.6;0.36333333333333334;0.3
0.42;0.58;0.33;0.34
0.44;0.56;0.3277777777777778;0.35
0.46;0.54;0.34444444444444444;0.35
0.44;0.56;0.3511111111111111;0.3
0.46;0.58;0.32555555555555554;0.3
0.44;0.56;0.3244444444444444;0.29
0.46;0.54;0.34444444444444444;0.35
0.48;0.56;0.31666666666666665;0.33
0.46;0.54;0.32;0.19
0.48;0.52;0.3422222222222222;0.25
0.5;0.5;0.3388888888888889;0.31
0.52;0.48;0.37;0.29
0.5;0.5;0.3622222222222222;0.34
0.48;0.52;0.37666666666666665;0.39
0.5;0.5;0.38;0.3
0.48;0.48;0.41444444444444445;0.3
0.46;0.46;0.4222222222222222;0.33
0.48;0.44;0.43333333333333335;0.31
0.46;0.46;0.43222222222222223;0.36
0.48;0.48;0.45222222222222225;0.33
0.46;0.5;0.4411111111111111;0.34
0.44;0.48;0.4411111111111111;0.36
0.42;0.46;0.43666666666666665;0.32
0.4;0.48;0.4311111111111111;0.35
0.38;0.46;0.43666666666666665;0.3
0.4;0.48;0.4255555555555556;0.36
