pA;pB;strat1;strat6
0.5;0.5;0.49666666666666665;0.53
0.52;0.52;0.49666666666666665;0.59
0.54;0.5;0.5;0.5
0.52;0.52;0.5111111111111111;0.48
0.54;0.54;0.4777777777777778;0.42
0.52;0.52;0.48777777777777775;0.52
0.54;0.5;0.49777777777777776;0.59
0.52;0.52;0.49;0.4
0.54;0.5;0.49333333333333335;0.5
0.52;0.52;0.49666666666666665;0.49
0.5;0.5;0.5144444444444445;0.54
0.52;0.48;0.4988888888888889;0.52
0.5;0.5;0.5;0.54
0.48;0.48;0.5077777777777778;0.47
0.46;0.46;0.5111111111111111;0.53
0.44;0.48;0.49333333333333335;0.5
0.46;0.5;0.4888888888888889;0.41
0.48;0.48;0.47555555555555556;0.43
0.5;0.5;0.4811111111111111;0.38
0.48;0.52;0.47888888888888886;0.55
0.46;0.54;0.4722222222222222;0.49
0.48;0.56;0.4588888888888889;0.4
0.46;0.58;0.45444444444444443;0.43
0.48;0.56;0.43555555555555553;0.41
0.46;0.54;0.42444444444444446;0.45
0.48;0.52;0.40555555555555556;0.41
0.46;0.54;0.41333333333333333;0.37
0.48;0.52;0.39666666666666667;0.39
0.46;0.54;0.40444444444444444;0.27
0.44;0.56;0.37666666666666665;0.34
0.46;0.58;0.3844444444444444;0.34
0.48;0.56;0.37777777777777777;0.29
0.46;0.58;0.3711111111111111;0.31
0.48;0.6;0.36666666666666664;0.31
0.5;0.62;0.34555555555555556;0.3
0.48;0.6;0.3422222222222222;0.33
0.5;0.58;0.34;0.36
0.52;0.6;0.32666666666666666;0.32
0.5;0.62;0.33444444444444443;0.33
0.48;0.64;0.3333333333333333;0.3
0.46;0.62;0.31777777777777777;0.18
0.48;0.6;0.3111111111111111;0.19
0.46;0.58;0.31;0.24
0.44;0.6;0.29888888888888887;0.27
0.42;0.58;0.2877777777777778;0.28
0.4;0.56;0.2688888888888889;0.24
0.42;0.54;0.2588888888888889;0.29
0.44;0.52;0.26666666666666666;0.27
0.42;0.54;0.28555555555555556;0.2
0.44;0.52;0.2633333333333333;0.18
0.46;0.5;0.2822222222222222;0.21
0.44;0.52;0.28;0.22
0.46;0.5;0.3088888888888889;0.15
0.44;0.48;0.33111111111111113;0.2
0.42;0.46;0.34555555555555556;0.28
0.44;0.48;0.35777777777777775;0.29
0.46;0.46;0.3477777777777778;0.29
0.44;0.48;0.37222222222222223;0.28
0.46;0.46;0.37222222222222223;0.34
0.48;0.48;0.4088888888888889;0.31
0.5;0.46;0.4211111111111111;0.33
0.52;0.44;0.43;0.34
0.5;0.46;0.45444444444444443;0.37
0.48;0.44;0.4777777777777778;0.43
0.5;0.46;0.4988888888888889;0.35
0.48;0.48;0.49777777777777776;0.43
0.46;0.5;0.4855555555555556;0.44
0.48;0.48;0.48333333333333334;0.45
0.46;0.46;0.5011111111111111;0.4
0.44;0.44;0.49666666666666665;0.49
0.42;0.42;0.49777777777777776;0.44
0.4;0.4;0.4988888888888889;0.49
0.42;0.38;0.4988888888888889;0.53
0.44;0.4;0.5066666666666667;0.46
0.46;0.42;0.5022222222222222;0.56
0.44;0.4;0.5155555555555555;0.51
0.46;0.42;0.52;0.58
0.48;0.4;0.5333333333333333;0.51
0.46;0.42;0.5455555555555556;0.5
0.48;0.4;0.5433333333333333;0.49
0.46;0.42;0.5477777777777778;0.61
0.48;0.4;0.5666666666666667;0.52
0.46;0.42;0.56;0.53
0.48;0.4;0.5633333333333334;0.61
0.5;0.38;0.5777777777777777;0.68
0.52;0.4;0.6066666666666667;0.63
0.54;0.38;0.5977777777777777;0.54
0.52;0.36;0.6266666666666667;0.68
0.5;0.34;0.6344444444444445;0.71
0.52;0.36;0.6422222222222222;0.71
0.5;0.38;0.6366666666666667;0.69
0.48;0.36;0.6433333333333333;0.53
0.5;0.38;0.6266666666666667;0.58
0.48;0.4;0.6466666666666666;0.65
0.46;0.42;0.6422222222222222;0.6
0.48;0.44;0.6388888888888888;0.7
0.5;0.42;0.6155555555555555;0.66
0.52;0.44;0.5977777777777777;0.6
0.54;0.42;0.6244444444444445;0.7
0.52;0.4;0.6311111111111111;0.65
0.5;0.42;0.6277777777777778;0.67
0.48;0.44;0.6588888888888889;0.66
0.5;0.42;0.6244444444444445;0.66
0.52;0.4;0.6188888888888889;0.62
0.54;0.38;0.6144444444444445;0.55
0.56;0.4;0.6366666666666667;0.56
0.58;0.38;0.6422222222222222;0.55
0.56;0.4;0.6688888888888889;0.62
0.54;0.42;0.6855555555555556;0.69
0.56;0.44;0.6966666666666667;0.81
0.58;0.42;0.6733333333333333;0.72
0.56;0.44;0.68;0.62
0.58;0.46;0.6744444444444444;0.66
0.56;0.44;0.6888888888888889;0.77
0.54;0.46;0.6722222222222223;0.76
0.56;0.44;0.6566666666666666;0.7
0.58;0.46;0.6733333333333333;0.75
0.56;0.48;0.6611111111111111;0.71
0.58;0.46;0.6577777777777778;0.65
0.56;0.48;0.65;0.63
0.58;0.5;0.67;0.64
0.56;0.52;0.6733333333333333;0.69
0.58;0.5;0.6777777777777778;0.76
0.56;0.48;0.6855555555555556;0.76
0.58;0.5;0.69;0.62
0.56;0.52;0.6422222222222222;0.69
0.58;0.5;0.6644444444444444;0.68
0.6;0.48;0.6488888888888888;0.7
0.62;0.46;0.6488888888888888;0.8
0.6;0.48;0.6633333333333333;0.75
0.62;0.46;0.6833333333333333;0.74
0.64;0.48;0.6844444444444444;0.72
0.66;0.5;0.6988888888888889;0.77
0.68;0.48;0.6977777777777778;0.71
0.7;0.46;0.7355555555555555;0.75
0.72;0.44;0.7466666666666667;0.77
0.7;0.46;0.7577777777777778;0.78
0.72;0.48;0.7811111111111111;0.79
0.7;0.46;0.7955555555555556;0.83
0.72;0.44;0.8033333333333333;0.87
0.7;0.46;0.8122222222222222;0.83
0.68;0.48;0.8211111111111111;0.9
0.7;0.5;0.8233333333333334;0.84
0.72;0.52;0.8366666666666667;0.88
0.7;0.54;0.8355555555555556;0.9
0.68;0.56;0.8488888888888889;0.9
0.7;0.54;0.84;0.87
0.72;0.52;0.8355555555555556;0.87
0.74;0.54;0.8466666666666667;0.87
0.72;0.52;0.85;0.89
0.7;0.54;0.8533333333333334;0.95
0.72;0.56;0.8522222222222222;0.88
0.7;0.54;0.8577777777777778;0.95
0.68;0.56;0.8544444444444445;0.95
0.66;0.54;0.8566666666666667;0.89
0.64;0.52;0.8555555555555555;0.79
0.62;0.5;0.8522222222222222;0.91
0.64;0.52;0.8444444444444444;0.93
0.62;0.54;0.8533333333333334;0.93
