pA;pB;strat1;strat6
0.5;0.5;0.5077777777777778;0.52
0.52;0.48;0.4688888888888889;0.53
0.54;0.46;0.49666666666666665;0.45
0.52;0.48;0.4988888888888889;0.47
0.5;0.5;0.5255555555555556;0.53
0.48;0.52;0.5211111111111111;0.5
0.46;0.54;0.5177777777777778;0.56
0.48;0.56;0.5133333333333333;0.54
0.5;0.58;0.47444444444444445;0.5
0.48;0.56;0.4866666666666667;0.48
0.5;0.54;0.4866666666666667;0.58
0.48;0.56;0.47555555555555556;0.47
0.46;0.54;0.47;0.48
0.44;0.52;0.46111111111111114;0.48
0.42;0.5;0.4388888888888889;0.46
0.44;0.48;0.4411111111111111;0.48
0.42;0.5;0.43666666666666665;0.53
0.4;0.48;0.42;0.49
0.42;0.5;0.4255555555555556;0.42
0.4;0.52;0.41333333333333333;0.39
0.42;0.5;0.40444444444444444;0.41
0.44;0.48;0.42;0.39
0.42;0.46;0.40555555555555556;0.36
0.44;0.48;0.4211111111111111;0.3
0.46;0.46;0.4222222222222222;0.3
0.48;0.48;0.42;0.34
0.46;0.46;0.4533333333333333;0.39
0.48;0.48;0.44;0.43
0.46;0.46;0.4588888888888889;0.42
0.44;0.48;0.45555555555555555;0.32
0.42;0.5;0.44555555555555554;0.39
0.44;0.52;0.43666666666666665;0.52
0.46;0.54;0.4211111111111111;0.37
0.48;0.56;0.4077777777777778;0.36
0.46;0.58;0.40444444444444444;0.41
0.44;0.6;0.3888888888888889;0.39
0.46;0.58;0.39;0.45
0.48;0.56;0.3511111111111111;0.4
0.5;0.54;0.36666666666666664;0.24
0.48;0.56;0.3688888888888889;0.41
0.46;0.58;0.37444444444444447;0.43
0.48;0.6;0.35888888888888887;0.3
0.5;0.58;0.35777777777777775;0.36
0.52;0.6;0.36444444444444446;0.23
0.5;0.62;0.34444444444444444;0.34
0.48;0.6;0.35555555555555557;0.29
0.5;0.62;0.34;0.2
0.48;0.6;0.3277777777777778;0.22
0.5;0.58;0.30777777777777776;0.29
0.52;0.56;0.32666666666666666;0.26
0.54;0.54;0.31777777777777777;0.22
0.56;0.52;0.3466666666666667;0.29
0.58;0.54;0.3566666666666667;0.3
0.6;0.56;0.3788888888888889;0.36
0.58;0.54;0.39;0.31
0.56;0.56;0.4022222222222222;0.34
0.54;0.58;0.41444444444444445;0.41
0.56;0.56;0.42;0.35
0.58;0.58;0.4177777777777778;0.28
0.56;0.6;0.4311111111111111;0.37
0.58;0.58;0.4533333333333333;0.38
0.56;0.56;0.4444444444444444;0.4
0.54;0.54;0.4444444444444444;0.27
0.56;0.52;0.4388888888888889;0.34
0.54;0.5;0.45222222222222225;0.35
0.56;0.48;0.44;0.37
0.58;0.5;0.45222222222222225;0.41
0.6;0.52;0.49333333333333335;0.35
0.58;0.54;0.5088888888888888;0.37
0.6;0.52;0.5255555555555556;0.44
0.58;0.5;0.5288888888888889;0.42
0.6;0.52;0.5344444444444445;0.46
0.58;0.54;0.54;0.51
0.56;0.56;0.5388888888888889;0.5
0.54;0.54;0.5355555555555556;0.5
0.56;0.52;0.52;0.57
0.54;0.5;0.5444444444444444;0.52
0.56;0.52;0.5333333333333333;0.56
0.54;0.5;0.5511111111111111;0.55
0.56;0.52;0.5244444444444445;0.65
0.54;0.5;0.5166666666666667;0.52
0.52;0.52;0.5222222222222223;0.6
0.54;0.5;0.53;0.46
0.52;0.48;0.5455555555555556;0.5
0.54;0.46;0.5466666666666666;0.54
0.52;0.48;0.5322222222222223;0.52
0.54;0.46;0.5444444444444444;0.49
0.52;0.44;0.56;0.59
0.54;0.46;0.5766666666666667;0.62
0.56;0.48;0.5733333333333334;0.54
0.58;0.5;0.5733333333333334;0.58
0.56;0.52;0.5666666666666667;0.59
0.54;0.5;0.5766666666666667;0.63
0.52;0.48;0.5844444444444444;0.62
0.54;0.5;0.5755555555555556;0.63
0.56;0.48;0.5911111111111111;0.63
0.58;0.5;0.59;0.61
0.56;0.52;0.5922222222222222;0.6
0.54;0.54;0.5744444444444444;0.61
0.52;0.52;0.5944444444444444;0.64
0.5;0.5;0.5733333333333334;0.67
0.52;0.48;0.5666666666666667;0.63
0.54;0.46;0.5655555555555556;0.55
0.56;0.48;0.5811111111111111;0.62
0.54;0.5;0.5811111111111111;0.63
0.56;0.48;0.5611111111111111;0.61
0.54;0.46;0.5744444444444444;0.63
0.52;0.48;0.5711111111111111;0.67
0.54;0.5;0.5722222222222222;0.67
0.52;0.52;0.5544444444444444;0.58
0.54;0.5;0.5622222222222222;0.57
0.56;0.48;0.5722222222222222;0.64
0.54;0.46;0.5711111111111111;0.5
0.52;0.44;0.5788888888888889;0.66
0.54;0.46;0.5877777777777777;0.56
0.56;0.44;0.63;0.65
0.54;0.46;0.6055555555555555;0.67
0.56;0.48;0.6355555555555555;0.65
0.54;0.5;0.62;0.64
0.56;0.52;0.6088888888888889;0.68
0.58;0.5;0.5877777777777777;0.69
0.6;0.52;0.5955555555555555;0.6
0.58;0.5;0.6088888888888889;0.56
0.6;0.52;0.6144444444444445;0.63
0.58;0.54;0.6055555555555555;0.58
0.56;0.56;0.5955555555555555;0.67
0.54;0.58;0.5977777777777777;0.51
0.52;0.6;0.5833333333333334;0.64
0.54;0.62;0.55;0.54
0.56;0.64;0.5533333333333333;0.53
0.54;0.62;0.5522222222222222;0.5
0.52;0.64;0.5255555555555556;0.54
0.54;0.62;0.5155555555555555;0.51
0.56;0.6;0.5077777777777778;0.48
0.54;0.62;0.5066666666666667;0.54
0.52;0.64;0.4777777777777778;0.45
0.5;0.62;0.4777777777777778;0.44
0.52;0.64;0.4688888888888889;0.51
0.5;0.62;0.45111111111111113;0.48
0.52;0.6;0.4488888888888889;0.47
0.5;0.62;0.44222222222222224;0.46
0.48;0.64;0.4222222222222222;0.4
0.5;0.62;0.41333333333333333;0.45
0.52;0.64;0.4033333333333333;0.45
0.54;0.62;0.3888888888888889;0.37
0.52;0.64;0.38333333333333336;0.36
0.5;0.62;0.37;0.35
0.48;0.6;0.35777777777777775;0.36
0.5;0.62;0.35888888888888887;0.37
0.52;0.6;0.34555555555555556;0.33
0.5;0.62;0.3466666666666667;0.34
0.52;0.6;0.33666666666666667;0.25
0.54;0.58;0.3277777777777778;0.29
0.52;0.6;0.3477777777777778;0.28
0.54;0.58;0.33555555555555555;0.38
0.56;0.56;0.3522222222222222;0.35
0.58;0.54;0.3377777777777778;0.36
0.56;0.56;0.3688888888888889;0.43
0.54;0.54;0.36444444444444446;0.33
0.52;0.52;0.39111111111111113;0.37
0.54;0.54;0.38555555555555554;0.36
0.56;0.52;0.41;0.28
0.54;0.5;0.4166666666666667;0.3
0.56;0.48;0.4388888888888889;0.43
0.54;0.46;0.42777777777777776;0.54
0.56;0.44;0.45111111111111113;0.33
0.58;0.42;0.46555555555555556;0.54
0.56;0.44;0.5033333333333333;0.39
0.54;0.42;0.5233333333333333;0.41
0.52;0.4;0.5266666666666666;0.49
0.5;0.38;0.5488888888888889;0.38
0.52;0.36;0.5777777777777777;0.48
0.5;0.34;0.59;0.49
0.48;0.32;0.6;0.59
0.5;0.34;0.6244444444444445;0.52
0.48;0.32;0.6433333333333333;0.54
0.46;0.3;0.63;0.59
0.44;0.32;0.6588888888888889;0.59
0.46;0.34;0.6388888888888888;0.76
0.48;0.32;0.6311111111111111;0.74
0.5;0.34;0.6377777777777778;0.68
0.48;0.36;0.6466666666666666;0.64
0.46;0.34;0.6333333333333333;0.6
0.48;0.36;0.6411111111111111;0.68
0.5;0.38;0.6344444444444445;0.72
0.52;0.4;0.6422222222222222;0.69
