strat1;strat6
0.9;0.1
0.8991;0.1009
0.8975;0.1025
0.8926;0.1074
0.89;0.11
0.8853;0.1147
0.8802;0.1198
0.882;0.118
0.8815;0.1185
0.8809;0.1191
0.8759;0.1241
0.8762;0.1238
0.8769;0.1231
0.873;0.127
0.8787;0.1213
0.8768;0.1232
0.8801;0.1199
0.8872;0.1128
0.879;0.121
0.8799;0.1201
0.8799;0.1201
0.8803;0.1197
0.8764;0.1236
0.8771;0.1229
0.882;0.118
0.8835;0.1165
0.8817;0.1183
0.876;0.124
0.8753;0.1247
0.8773;0.1227
0.8772;0.1228
0.8767;0.1233
0.8797;0.1203
0.8728;0.1272
0.8688;0.1312
0.865;0.135
0.863;0.137
0.8645;0.1355
0.8582;0.1418
0.8572;0.1428
0.861;0.139
0.8585;0.1415
0.8554;0.1446
0.8552;0.1448
0.8587;0.1413
0.8616;0.1384
0.861;0.139
0.8563;0.1437
0.8566;0.1434
0.8548;0.1452
0.8554;0.1446
0.8588;0.1412
0.8599;0.1401
0.8564;0.1436
0.8578;0.1422
0.8618;0.1382
0.8646;0.1354
0.8593;0.1407
0.863;0.137
0.8657;0.1343
0.8614;0.1386
0.861;0.139
0.87;0.13
0.873;0.127
0.8752;0.1248
0.8758;0.1242
0.8798;0.1202
0.8808;0.1192
0.8822;0.1178
0.8791;0.1209
0.8701;0.1299
0.8705;0.1295
0.8742;0.1258
0.8774;0.1226
0.8748;0.1252
0.8782;0.1218
0.8761;0.1239
0.8804;0.1196
0.8827;0.1173
0.8805;0.1195
0.8787;0.1213
0.8821;0.1179
0.8794;0.1206
0.8773;0.1227
0.8817;0.1183
0.8769;0.1231
0.8771;0.1229
0.8773;0.1227
0.8768;0.1232
0.8744;0.1256
0.8706;0.1294
0.8703;0.1297
0.8735;0.1265
0.8739;0.1261
0.8621;0.1379
0.8698;0.1302
0.8663;0.1337
0.867;0.133
0.8642;0.1358
0.8592;0.1408
0.8567;0.1433
0.8566;0.1434
0.8577;0.1423
0.8547;0.1453
0.8559;0.1441
0.8557;0.1443
0.8593;0.1407
0.8572;0.1428
0.8574;0.1426
0.8517;0.1483
0.8536;0.1464
0.8546;0.1454
0.8584;0.1416
0.8584;0.1416
0.8591;0.1409
0.8572;0.1428
0.8547;0.1453
0.8475;0.1525
0.8475;0.1525
0.8479;0.1521
0.8496;0.1504
0.8541;0.1459
0.8547;0.1453
0.8556;0.1444
0.8579;0.1421
0.8547;0.1453
0.8541;0.1459
0.8569;0.1431
0.858;0.142
0.8579;0.1421
0.8595;0.1405
0.861;0.139
0.857;0.143
0.8569;0.1431
0.8586;0.1414
0.856;0.144
0.8547;0.1453
0.858;0.142
0.8501;0.1499
0.8425;0.1575
0.842;0.158
0.8384;0.1616
0.84;0.16
0.8395;0.1605
0.8346;0.1654
0.8343;0.1657
0.8319;0.1681
0.8275;0.1725
0.828;0.172
0.8283;0.1717
0.8268;0.1732
0.8254;0.1746
0.8276;0.1724
0.8237;0.1763
0.8216;0.1784
0.8213;0.1787
0.8191;0.1809
0.8269;0.1731
0.8315;0.1685
0.8363;0.1637
0.8394;0.1606
0.8429;0.1571
0.8438;0.1562
0.8416;0.1584
0.8465;0.1535
0.8486;0.1514
0.8424;0.1576
0.8445;0.1555
0.8446;0.1554
0.843;0.157
0.843;0.157
0.8457;0.1543
0.8458;0.1542
0.8515;0.1485
0.8521;0.1479
0.85;0.15
0.8461;0.1539
0.8527;0.1473
0.8487;0.1513
0.848;0.152
0.8483;0.1517
0.8388;0.1612
0.8356;0.1644
0.8341;0.1659
0.8312;0.1688
0.8341;0.1659
0.8265;0.1735
0.8215;0.1785
0.8188;0.1812
0.8228;0.1772
0.8213;0.1787
0.8195;0.1805
0.8231;0.1769
0.8187;0.1813
0.8159;0.1841
0.8205;0.1795
0.8252;0.1748
0.8216;0.1784
0.8219;0.1781
0.8188;0.1812
0.814;0.186
0.8131;0.1869
0.8117;0.1883
0.81;0.19
0.8068;0.1932
0.809;0.191
0.8179;0.1821
0.8165;0.1835
0.8117;0.1883
0.8132;0.1868
0.8073;0.1927
0.8059;0.1941
0.8029;0.1971
0.8021;0.1979
0.7942;0.2058
0.7949;0.2051
0.7919;0.2081
0.7859;0.2141
0.7805;0.2195
0.7802;0.2198
0.7817;0.2183
0.7801;0.2199
