pA;pB;strat1;strat6
0.5;0.5;0.5266666666666666;0.56
0.48;0.48;0.5022222222222222;0.48
0.5;0.46;0.5044444444444445;0.53
0.52;0.48;0.5011111111111111;0.46
0.5;0.5;0.5266666666666666;0.52
0.52;0.52;0.5166666666666667;0.52
0.54;0.54;0.5177777777777778;0.49
0.52;0.52;0.52;0.5
0.54;0.5;0.5233333333333333;0.6
0.56;0.48;0.5266666666666666;0.53
0.54;0.5;0.53;0.47
0.56;0.52;0.5433333333333333;0.58
0.54;0.5;0.5522222222222222;0.59
0.56;0.52;0.5822222222222222;0.53
0.58;0.54;0.5733333333333334;0.58
0.6;0.56;0.57;0.5
0.62;0.54;0.5533333333333333;0.63
0.64;0.52;0.5788888888888889;0.58
0.62;0.5;0.5866666666666667;0.64
0.6;0.52;0.5766666666666667;0.75
0.62;0.54;0.5811111111111111;0.71
0.64;0.52;0.5844444444444444;0.59
0.66;0.5;0.5966666666666667;0.62
0.64;0.48;0.6077777777777778;0.58
0.62;0.46;0.6166666666666667;0.67
0.6;0.48;0.6366666666666667;0.75
0.62;0.5;0.6388888888888888;0.78
0.6;0.52;0.6588888888888889;0.65
0.58;0.54;0.6744444444444444;0.66
0.6;0.56;0.6455555555555555;0.68
0.62;0.54;0.6577777777777778;0.73
0.6;0.56;0.6444444444444445;0.75
0.58;0.54;0.6577777777777778;0.76
0.56;0.56;0.6566666666666666;0.7
0.54;0.54;0.6433333333333333;0.7
0.52;0.52;0.6411111111111111;0.74
0.54;0.54;0.6322222222222222;0.64
0.52;0.56;0.6255555555555555;0.8
0.54;0.54;0.6077777777777778;0.63
0.52;0.56;0.6055555555555555;0.71
0.54;0.58;0.5811111111111111;0.68
0.56;0.6;0.5755555555555556;0.68
0.54;0.58;0.5666666666666667;0.62
0.56;0.56;0.5555555555555556;0.64
0.58;0.54;0.5588888888888889;0.72
0.56;0.56;0.5433333333333333;0.65
0.54;0.54;0.5566666666666666;0.62
0.52;0.52;0.5577777777777778;0.57
0.54;0.5;0.5733333333333334;0.63
0.52;0.48;0.5766666666666667;0.61
