pA;pB;strat1;strat2
0.5;0.5;0.512;0.44
0.48;0.52;0.492;0.43333333333333335
0.46;0.54;0.504;0.44666666666666666
0.48;0.56;0.476;0.43733333333333335
0.46;0.54;0.484;0.39866666666666667
0.48;0.56;0.524;0.3373333333333333
0.5;0.54;0.492;0.3373333333333333
0.48;0.52;0.488;0.34933333333333333
0.46;0.5;0.444;0.33866666666666667
0.44;0.48;0.464;0.264
0.46;0.46;0.452;0.26666666666666666
0.44;0.48;0.448;0.23733333333333334
0.46;0.46;0.452;0.20666666666666667
0.44;0.48;0.468;0.18266666666666667
0.42;0.5;0.5;0.16
0.44;0.52;0.448;0.12933333333333333
0.46;0.5;0.456;0.09866666666666667
0.44;0.48;0.448;0.08666666666666667
0.42;0.5;0.46;0.06133333333333333
0.44;0.52;0.432;0.07466666666666667
0.42;0.54;0.392;0.076
0.44;0.56;0.368;0.068
0.46;0.58;0.376;0.05333333333333334
0.48;0.56;0.368;0.06266666666666666
0.46;0.54;0.376;0.04666666666666667
0.48;0.52;0.364;0.04533333333333334
0.46;0.54;0.356;0.037333333333333336
0.44;0.56;0.376;0.044
0.46;0.54;0.36;0.05333333333333334
0.48;0.56;0.344;0.042666666666666665
0.5;0.58;0.368;0.042666666666666665
0.48;0.56;0.408;0.044
0.5;0.58;0.364;0.044
0.48;0.6;0.364;0.04933333333333333
0.46;0.58;0.368;0.04
0.48;0.56;0.364;0.03866666666666667
0.5;0.58;0.352;0.04133333333333333
0.52;0.56;0.364;0.044
0.5;0.54;0.372;0.04133333333333333
0.52;0.52;0.384;0.042666666666666665
0.5;0.54;0.408;0.056
0.48;0.52;0.396;0.04
0.46;0.54;0.4;0.042666666666666665
0.48;0.52;0.408;0.044
0.5;0.54;0.392;0.056
0.52;0.56;0.4;0.05466666666666667
0.5;0.58;0.38;0.056
0.48;0.56;0.396;0.03866666666666667
0.5;0.54;0.392;0.05733333333333333
0.48;0.52;0.42;0.05466666666666667
0.5;0.54;0.392;0.068
0.48;0.52;0.408;0.072
0.46;0.5;0.404;0.052
0.44;0.52;0.4;0.052
0.42;0.5;0.392;0.056
0.4;0.52;0.396;0.05466666666666667
0.42;0.54;0.372;0.05333333333333334
0.44;0.56;0.368;0.048
0.42;0.58;0.336;0.032
0.44;0.6;0.344;0.04133333333333333
0.46;0.62;0.284;0.032
0.44;0.6;0.308;0.02
0.42;0.58;0.312;0.018666666666666668
0.44;0.56;0.304;0.02
0.42;0.54;0.316;0.03333333333333333
0.44;0.52;0.32;0.02666666666666667
0.46;0.5;0.316;0.02266666666666667
0.48;0.52;0.344;0.02666666666666667
0.5;0.5;0.324;0.042666666666666665
0.48;0.48;0.38;0.032
0.46;0.46;0.352;0.04533333333333334
0.44;0.48;0.388;0.03866666666666667
0.42;0.46;0.356;0.050666666666666665
0.4;0.44;0.388;0.024
0.42;0.42;0.384;0.04533333333333334
0.4;0.44;0.416;0.048
0.42;0.46;0.42;0.04933333333333333
0.44;0.48;0.392;0.064
0.46;0.5;0.448;0.05333333333333334
0.44;0.52;0.424;0.06266666666666666
0.46;0.5;0.444;0.06666666666666667
0.48;0.52;0.384;0.08266666666666667
0.5;0.5;0.432;0.08133333333333333
0.48;0.52;0.424;0.084
0.5;0.5;0.448;0.088
0.52;0.48;0.428;0.09066666666666667
0.5;0.5;0.48;0.092
0.52;0.52;0.472;0.09733333333333333
0.5;0.54;0.484;0.064
0.52;0.56;0.504;0.07733333333333334
0.54;0.58;0.48;0.09066666666666667
0.56;0.6;0.46;0.112
0.58;0.62;0.476;0.09333333333333334
0.6;0.6;0.496;0.1
0.58;0.62;0.548;0.11333333333333333
0.6;0.6;0.532;0.11733333333333333
0.62;0.62;0.5;0.12666666666666668
0.64;0.6;0.496;0.14
0.66;0.58;0.484;0.14933333333333335
0.64;0.6;0.524;0.108
0.66;0.62;0.524;0.09733333333333333
0.64;0.6;0.512;0.11866666666666667
0.62;0.58;0.536;0.12933333333333333
0.64;0.56;0.536;0.144
0.66;0.54;0.508;0.14533333333333334
0.64;0.56;0.528;0.148
