pA;pB;strat1;strat6
0.5;0.5;0.48444444444444446;0.56
0.48;0.48;0.5044444444444445;0.46
0.5;0.5;0.5077777777777778;0.52
0.52;0.52;0.4911111111111111;0.49
0.54;0.5;0.4988888888888889;0.49
0.52;0.48;0.5022222222222222;0.51
0.5;0.46;0.5255555555555556;0.44
0.52;0.44;0.53;0.55
0.54;0.42;0.5333333333333333;0.48
0.52;0.44;0.5477777777777778;0.55
0.54;0.46;0.5655555555555556;0.58
0.52;0.48;0.56;0.55
0.54;0.46;0.5633333333333334;0.55
0.56;0.44;0.5711111111111111;0.52
0.54;0.46;0.5922222222222222;0.6
0.56;0.48;0.61;0.68
0.54;0.46;0.6088888888888889;0.71
0.52;0.48;0.6222222222222222;0.65
0.54;0.5;0.5966666666666667;0.68
0.52;0.52;0.5733333333333334;0.59
0.5;0.54;0.5766666666666667;0.61
0.52;0.52;0.5433333333333333;0.62
0.54;0.54;0.5433333333333333;0.59
0.56;0.52;0.5311111111111111;0.67
0.54;0.54;0.54;0.61
0.56;0.52;0.5333333333333333;0.57
0.58;0.5;0.5433333333333333;0.55
0.6;0.52;0.5666666666666667;0.6
0.62;0.5;0.5577777777777778;0.6
0.64;0.52;0.59;0.61
0.62;0.5;0.5977777777777777;0.6
0.6;0.48;0.6011111111111112;0.58
0.58;0.46;0.6022222222222222;0.74
0.6;0.48;0.6188888888888889;0.64
0.62;0.46;0.6366666666666667;0.6
0.6;0.44;0.6366666666666667;0.65
0.58;0.46;0.6655555555555556;0.73
0.56;0.44;0.6533333333333333;0.73
0.54;0.46;0.66;0.65
0.56;0.48;0.6588888888888889;0.71
0.54;0.5;0.6511111111111111;0.64
0.56;0.52;0.6366666666666667;0.74
0.54;0.5;0.6544444444444445;0.73
0.56;0.52;0.6466666666666666;0.7
0.54;0.5;0.6488888888888888;0.72
0.52;0.52;0.6288888888888889;0.75
0.5;0.5;0.63;0.7
0.52;0.52;0.5988888888888889;0.61
0.5;0.54;0.6177777777777778;0.66
0.48;0.56;0.5855555555555556;0.66
