pA;pB;strat1;strat2
0.6;0.48;0.604;0.952
0.58;0.46;0.644;0.9453333333333334
0.56;0.48;0.664;0.9426666666666667
0.54;0.5;0.684;0.96
0.52;0.48;0.68;0.9746666666666667
0.54;0.5;0.696;0.9733333333333334
0.52;0.52;0.668;0.972
0.5;0.54;0.628;0.9706666666666667
0.48;0.52;0.644;0.964
0.46;0.5;0.652;0.964
0.48;0.48;0.624;0.9626666666666667
0.46;0.46;0.588;0.9626666666666667
0.44;0.48;0.612;0.9426666666666667
0.42;0.46;0.576;0.9373333333333334
0.44;0.48;0.56;0.948
0.42;0.46;0.5;0.948
0.44;0.48;0.52;0.9146666666666666
0.46;0.5;0.492;0.9106666666666666
0.44;0.48;0.48;0.9026666666666666
0.46;0.5;0.448;0.888
0.48;0.52;0.46;0.8733333333333333
0.46;0.54;0.444;0.876
0.48;0.56;0.408;0.8933333333333333
0.5;0.54;0.412;0.86
0.48;0.52;0.412;0.8266666666666667
0.5;0.5;0.452;0.82
0.52;0.52;0.46;0.84
0.54;0.54;0.452;0.8186666666666667
0.52;0.52;0.44;0.8226666666666667
0.54;0.5;0.464;0.832
0.52;0.48;0.488;0.8093333333333333
0.54;0.5;0.508;0.824
0.56;0.52;0.488;0.852
0.54;0.5;0.516;0.8453333333333334
0.56;0.48;0.524;0.8586666666666667
0.58;0.5;0.52;0.8733333333333333
0.56;0.52;0.524;0.8693333333333333
0.54;0.54;0.548;0.8666666666666667
0.52;0.52;0.5;0.888
0.5;0.54;0.528;0.868
0.52;0.56;0.544;0.8733333333333333
0.54;0.58;0.528;0.8946666666666667
0.56;0.6;0.5;0.9013333333333333
0.58;0.58;0.5;0.8773333333333333
0.56;0.56;0.5;0.868
0.54;0.58;0.524;0.8773333333333333
0.56;0.6;0.484;0.8773333333333333
0.54;0.62;0.488;0.8866666666666667
0.56;0.6;0.456;0.8906666666666667
0.54;0.62;0.464;0.8813333333333333
0.52;0.64;0.46;0.8653333333333333
0.54;0.62;0.456;0.8573333333333333
0.52;0.6;0.468;0.8453333333333334
0.54;0.58;0.444;0.8506666666666667
0.56;0.56;0.436;0.832
0.58;0.54;0.46;0.8053333333333333
0.6;0.52;0.464;0.8146666666666667
0.58;0.54;0.46;0.8133333333333334
0.56;0.52;0.488;0.8053333333333333
0.54;0.5;0.48;0.8133333333333334
0.52;0.52;0.468;0.8293333333333334
0.5;0.5;0.508;0.844
0.48;0.48;0.476;0.8533333333333334
0.46;0.5;0.512;0.8493333333333334
0.48;0.52;0.456;0.856
0.46;0.5;0.508;0.8613333333333333
0.44;0.48;0.488;0.856
0.46;0.46;0.484;0.8626666666666667
0.48;0.48;0.504;0.8506666666666667
0.46;0.5;0.524;0.8546666666666667
0.48;0.48;0.528;0.848
0.46;0.46;0.5;0.8626666666666667
0.48;0.48;0.584;0.8746666666666667
0.5;0.46;0.54;0.8986666666666666
0.48;0.48;0.58;0.9146666666666666
0.5;0.5;0.5;0.9186666666666666
0.48;0.52;0.52;0.9
0.46;0.54;0.524;0.8853333333333333
0.44;0.52;0.516;0.8733333333333333
0.46;0.54;0.504;0.888
0.44;0.52;0.512;0.8813333333333333
0.46;0.54;0.5;0.8573333333333333
0.48;0.56;0.504;0.8533333333333334
0.46;0.58;0.448;0.8493333333333334
0.48;0.6;0.44;0.8426666666666667
0.46;0.62;0.42;0.856
0.44;0.6;0.424;0.8426666666666667
