pA;pB;strat1;strat6
0.5;0.5;0.58;0.4866666666666667
0.52;0.52;0.55;0.5522222222222222
0.54;0.5;0.38;0.5133333333333333
0.52;0.52;0.45;0.51
0.5;0.54;0.5;0.4888888888888889
0.52;0.52;0.44;0.4866666666666667
0.54;0.54;0.49;0.48777777777777775
0.52;0.52;0.43;0.4888888888888889
0.5;0.5;0.46;0.48333333333333334
0.48;0.48;0.47;0.49666666666666665
0.5;0.5;0.44;0.5388888888888889
0.48;0.48;0.44;0.5411111111111111
0.46;0.46;0.45;0.5266666666666666
0.44;0.48;0.45;0.5022222222222222
0.42;0.5;0.45;0.49777777777777776
0.44;0.52;0.46;0.4777777777777778
0.46;0.5;0.39;0.4444444444444444
0.44;0.48;0.43;0.4022222222222222
0.46;0.46;0.37;0.4311111111111111
0.44;0.44;0.39;0.40555555555555556
0.42;0.46;0.39;0.4266666666666667
0.4;0.48;0.45;0.41
0.42;0.46;0.37;0.38666666666666666
0.44;0.44;0.41;0.3933333333333333
0.46;0.46;0.41;0.4066666666666667
0.44;0.44;0.46;0.3988888888888889
0.42;0.46;0.48;0.37
0.4;0.44;0.49;0.39555555555555555
0.42;0.42;0.52;0.4077777777777778
0.4;0.4;0.59;0.3788888888888889
0.38;0.38;0.48;0.3888888888888889
0.4;0.4;0.52;0.4022222222222222
0.38;0.42;0.53;0.4288888888888889
0.36;0.44;0.57;0.4811111111111111
0.38;0.46;0.55;0.5333333333333333
0.4;0.44;0.5;0.5333333333333333
0.38;0.46;0.46;0.5244444444444445
0.4;0.48;0.5;0.51
0.42;0.5;0.48;0.51
0.4;0.48;0.48;0.47444444444444445
0.38;0.46;0.42;0.46
0.4;0.48;0.42;0.4677777777777778
0.38;0.5;0.47;0.45222222222222225
0.4;0.48;0.41;0.4622222222222222
0.42;0.46;0.44;0.45555555555555555
0.44;0.48;0.45;0.43222222222222223
0.46;0.46;0.51;0.4311111111111111
0.44;0.48;0.5;0.43444444444444447
0.42;0.46;0.51;0.4111111111111111
0.44;0.48;0.48;0.43222222222222223
0.46;0.46;0.49;0.4311111111111111
0.48;0.44;0.53;0.4388888888888889
0.46;0.42;0.51;0.44666666666666666
0.44;0.44;0.5;0.4388888888888889
0.46;0.46;0.48;0.4666666666666667
0.44;0.48;0.42;0.48
0.42;0.46;0.44;0.4477777777777778
0.44;0.44;0.48;0.43333333333333335
0.42;0.46;0.46;0.41555555555555557
0.44;0.48;0.53;0.4222222222222222
0.46;0.5;0.52;0.44333333333333336
0.48;0.52;0.44;0.4666666666666667
0.46;0.5;0.44;0.4444444444444444
0.48;0.52;0.44;0.4633333333333333
0.5;0.5;0.41;0.46111111111111114
0.52;0.48;0.39;0.4911111111111111
0.5;0.5;0.45;0.4888888888888889
0.52;0.52;0.44;0.5166666666666667
0.54;0.54;0.46;0.5322222222222223
0.52;0.56;0.42;0.5122222222222222
0.5;0.54;0.42;0.4922222222222222
0.48;0.52;0.4;0.4922222222222222
0.46;0.5;0.4;0.4666666666666667
0.44;0.52;0.36;0.47555555555555556
0.46;0.5;0.4;0.4866666666666667
0.48;0.52;0.38;0.4855555555555556
0.5;0.54;0.4;0.4577777777777778
0.48;0.52;0.44;0.45666666666666667
0.46;0.54;0.39;0.4088888888888889
0.48;0.52;0.39;0.4122222222222222
0.46;0.5;0.41;0.4166666666666667
0.48;0.48;0.46;0.41888888888888887
0.46;0.5;0.4;0.4011111111111111
0.48;0.52;0.44;0.3877777777777778
0.46;0.54;0.41;0.38333333333333336
0.44;0.52;0.37;0.36666666666666664
