pA;pB;strat1;strat6
0.5;0.5;0.5066666666666667;0.48
0.48;0.52;0.48333333333333334;0.41
0.5;0.5;0.4766666666666667;0.53
0.48;0.52;0.48777777777777775;0.42
0.46;0.54;0.4911111111111111;0.46
0.48;0.56;0.46111111111111114;0.54
0.46;0.54;0.4444444444444444;0.48
0.48;0.52;0.43555555555555553;0.43
0.46;0.54;0.4444444444444444;0.48
0.44;0.56;0.4111111111111111;0.5
0.46;0.54;0.43444444444444447;0.33
0.48;0.56;0.4266666666666667;0.35
0.46;0.54;0.3977777777777778;0.31
0.44;0.52;0.4;0.43
0.46;0.5;0.3877777777777778;0.32
0.48;0.48;0.3977777777777778;0.28
0.5;0.46;0.3844444444444444;0.43
0.52;0.48;0.42;0.38
0.5;0.46;0.4477777777777778;0.34
0.48;0.44;0.4688888888888889;0.36
0.5;0.42;0.45111111111111113;0.36
0.48;0.44;0.45555555555555555;0.41
0.46;0.42;0.48;0.4
0.48;0.44;0.4922222222222222;0.39
0.5;0.46;0.5066666666666667;0.49
0.48;0.44;0.5377777777777778;0.44
0.46;0.46;0.53;0.45
0.44;0.48;0.5044444444444445;0.42
0.46;0.5;0.5266666666666666;0.48
0.44;0.48;0.49666666666666665;0.48
0.46;0.5;0.48777777777777775;0.45
0.48;0.52;0.47444444444444445;0.44
0.5;0.54;0.4688888888888889;0.43
0.52;0.52;0.4666666666666667;0.47
0.5;0.54;0.4666666666666667;0.48
0.52;0.56;0.4588888888888889;0.5
0.5;0.54;0.48777777777777775;0.43
0.52;0.52;0.4711111111111111;0.47
0.5;0.54;0.4622222222222222;0.4
0.52;0.56;0.48;0.48
0.5;0.54;0.4677777777777778;0.48
0.48;0.52;0.4633333333333333;0.39
0.46;0.54;0.4866666666666667;0.52
0.44;0.52;0.4533333333333333;0.41
0.46;0.5;0.44333333333333336;0.43
0.48;0.48;0.4577777777777778;0.43
0.5;0.46;0.4588888888888889;0.52
0.48;0.48;0.4622222222222222;0.42
0.46;0.5;0.46111111111111114;0.4
0.48;0.52;0.48444444444444446;0.44
