pA;pB;strat1;strat2
0.5;0.5;0.495;0.505
0.48;0.52;0.48;0.525
0.46;0.54;0.475;0.5175
0.44;0.56;0.46;0.5425
0.42;0.54;0.48;0.52625
0.4;0.52;0.48;0.52125
0.42;0.5;0.44;0.525
0.44;0.48;0.43;0.5375
0.42;0.46;0.45;0.51875
0.44;0.44;0.43;0.49375
0.46;0.46;0.435;0.475
0.44;0.48;0.475;0.455
0.42;0.46;0.46;0.44625
0.44;0.48;0.45;0.40625
0.42;0.46;0.41;0.3525
0.44;0.44;0.48;0.3
0.42;0.46;0.475;0.28125
0.44;0.44;0.495;0.23875
0.42;0.46;0.505;0.21625
0.44;0.48;0.485;0.19625
0.46;0.46;0.48;0.16375
0.44;0.44;0.465;0.1375
0.42;0.42;0.46;0.095
0.4;0.44;0.39;0.0825
0.42;0.42;0.44;0.0625
0.44;0.44;0.395;0.04375
0.46;0.46;0.44;0.0275
0.48;0.48;0.435;0.035
0.46;0.5;0.435;0.03
0.44;0.48;0.405;0.02875
0.46;0.5;0.43;0.0325
0.48;0.52;0.435;0.04375
0.46;0.54;0.41;0.04875
0.48;0.56;0.445;0.03375
0.46;0.54;0.44;0.045
0.48;0.56;0.5;0.04125
0.46;0.58;0.46;0.0475
0.44;0.56;0.44;0.04375
0.46;0.54;0.4;0.03875
0.44;0.52;0.355;0.045
0.46;0.54;0.38;0.03625
0.44;0.52;0.38;0.01375
0.42;0.54;0.37;0.02625
0.4;0.56;0.365;0.025
0.42;0.58;0.35;0.01875
0.4;0.56;0.35;0.02
0.42;0.58;0.335;0.0175
0.44;0.56;0.34;0.01875
0.42;0.54;0.355;0.015
0.44;0.56;0.32;0.015
0.42;0.54;0.34;0.02375
0.4;0.52;0.345;0.01875
0.42;0.5;0.28;0.0175
0.44;0.52;0.355;0.0125
0.42;0.5;0.33;0.02125
0.44;0.48;0.355;0.015
0.46;0.46;0.35;0.0175
0.44;0.44;0.375;0.01625
0.46;0.46;0.33;0.02
0.48;0.48;0.38;0.01875
0.46;0.5;0.38;0.0275
0.44;0.48;0.4;0.025
0.46;0.5;0.365;0.02
0.48;0.48;0.46;0.0225
0.46;0.5;0.445;0.035
0.48;0.48;0.445;0.04375
0.46;0.46;0.48;0.045
0.44;0.48;0.445;0.03375
0.42;0.5;0.49;0.03125
0.44;0.48;0.465;0.03125
0.46;0.5;0.49;0.03125
0.44;0.52;0.45;0.04375
0.46;0.5;0.445;0.03625
0.44;0.48;0.43;0.03875
0.42;0.46;0.455;0.0325
0.44;0.44;0.445;0.0375
0.42;0.42;0.43;0.04625
0.4;0.4;0.465;0.03875
0.38;0.42;0.465;0.03875
0.36;0.44;0.465;0.055
0.34;0.42;0.45;0.055
0.36;0.4;0.42;0.05
0.34;0.38;0.42;0.04
0.36;0.4;0.45;0.045
0.34;0.38;0.435;0.0525
0.36;0.4;0.47;0.05
0.38;0.38;0.465;0.045
0.4;0.36;0.515;0.0575
