pA;pB;strat1;strat2
0.42;0.34;0.515;0.08
0.4;0.36;0.485;0.0625
0.38;0.34;0.535;0.06125
0.36;0.36;0.465;0.06875
0.34;0.34;0.475;0.0475
0.32;0.36;0.455;0.04
0.34;0.34;0.495;0.04875
0.36;0.36;0.44;0.05875
0.38;0.38;0.49;0.04625
0.4;0.4;0.49;0.05625
0.38;0.42;0.47;0.0425
0.4;0.4;0.495;0.04625
0.38;0.38;0.43;0.0475
0.4;0.36;0.51;0.04
0.38;0.38;0.495;0.05625
0.4;0.4;0.545;0.0625
0.38;0.38;0.475;0.08
0.4;0.36;0.535;0.07125
0.42;0.38;0.475;0.0675
0.44;0.36;0.555;0.05
0.46;0.34;0.565;0.05625
0.44;0.36;0.585;0.07375
0.42;0.38;0.53;0.0825
0.44;0.4;0.545;0.0825
0.46;0.42;0.525;0.08
0.44;0.44;0.56;0.0775
0.42;0.42;0.53;0.075
0.44;0.44;0.515;0.065
0.46;0.42;0.565;0.05875
0.44;0.4;0.56;0.07
0.46;0.42;0.5;0.0725
0.44;0.44;0.555;0.07
0.42;0.46;0.53;0.06125
0.4;0.48;0.5;0.06375
0.42;0.46;0.44;0.055
0.4;0.48;0.43;0.05
0.42;0.46;0.455;0.04875
0.44;0.48;0.48;0.0425
0.46;0.5;0.465;0.045
0.44;0.48;0.445;0.05125
0.42;0.5;0.425;0.05125
0.44;0.48;0.445;0.04625
0.42;0.5;0.455;0.04375
0.44;0.52;0.445;0.03875
0.46;0.5;0.41;0.045
0.44;0.52;0.41;0.0375
0.46;0.5;0.345;0.03875
0.44;0.48;0.345;0.02875
0.46;0.5;0.41;0.0225
0.48;0.48;0.4;0.0275
0.46;0.46;0.415;0.025
0.44;0.44;0.375;0.03
0.46;0.42;0.43;0.03125
0.48;0.4;0.48;0.0375
0.5;0.42;0.505;0.04125
0.48;0.4;0.48;0.0475
0.5;0.42;0.54;0.04625
0.48;0.4;0.535;0.06625
0.46;0.42;0.605;0.065
0.44;0.44;0.535;0.07
0.42;0.42;0.52;0.08
0.44;0.4;0.5;0.08125
0.46;0.42;0.56;0.06
0.48;0.44;0.49;0.0725
0.5;0.46;0.475;0.07
0.48;0.48;0.5;0.0625
0.46;0.46;0.475;0.06875
0.48;0.44;0.52;0.05875
0.5;0.46;0.515;0.06125
0.48;0.48;0.49;0.07625
0.5;0.5;0.51;0.065
0.52;0.52;0.505;0.0775
0.5;0.54;0.465;0.085
0.48;0.56;0.52;0.0675
0.46;0.54;0.485;0.07125
0.44;0.56;0.495;0.06375
0.46;0.54;0.44;0.045
0.44;0.52;0.47;0.04125
0.42;0.5;0.425;0.03875
0.44;0.52;0.425;0.04625
0.42;0.54;0.415;0.04
0.44;0.52;0.45;0.0275
0.46;0.5;0.43;0.03625
0.44;0.52;0.42;0.03875
0.46;0.5;0.45;0.0325
0.44;0.48;0.42;0.03375
0.42;0.5;0.47;0.02625
0.44;0.52;0.41;0.02875
0.46;0.54;0.395;0.03875
0.48;0.52;0.4;0.03875
0.46;0.54;0.4;0.04
0.48;0.52;0.415;0.04625
0.46;0.54;0.395;0.0425
0.48;0.56;0.345;0.03125
0.46;0.58;0.395;0.02
0.44;0.56;0.345;0.02
0.46;0.58;0.41;0.0125
0.48;0.6;0.38;0.01625
0.46;0.58;0.34;0.02
0.48;0.6;0.345;0.02
0.5;0.58;0.35;0.01875
0.48;0.6;0.35;0.0275
0.5;0.58;0.345;0.02125
0.52;0.6;0.32;0.01625
0.54;0.58;0.37;0.0175
0.52;0.56;0.375;0.015
0.54;0.54;0.365;0.025
0.52;0.52;0.365;0.025
0.5;0.5;0.34;0.0225
0.52;0.52;0.415;0.02
0.5;0.54;0.41;0.02625
0.48;0.56;0.42;0.0275
0.46;0.54;0.39;0.03125
0.44;0.52;0.385;0.0175
0.42;0.5;0.395;0.01625
0.4;0.48;0.365;0.03125
0.42;0.5;0.36;0.03
0.4;0.48;0.35;0.0275
0.38;0.46;0.355;0.02
0.36;0.44;0.395;0.01875
0.38;0.42;0.41;0.02375
0.4;0.44;0.365;0.0325
0.42;0.42;0.43;0.02625
0.44;0.4;0.44;0.0375
0.46;0.42;0.485;0.045
0.44;0.44;0.53;0.05
0.42;0.42;0.49;0.0575
0.4;0.4;0.465;0.05
0.42;0.42;0.475;0.055
0.44;0.44;0.46;0.0475
0.42;0.46;0.46;0.04625
0.44;0.44;0.475;0.04375
0.42;0.42;0.485;0.03375
0.44;0.4;0.47;0.035
0.42;0.42;0.52;0.04375
0.44;0.44;0.49;0.04625
0.42;0.42;0.5;0.03125
0.4;0.44;0.52;0.04125
0.38;0.46;0.5;0.055
0.36;0.44;0.505;0.04375
0.34;0.46;0.435;0.05875
0.36;0.48;0.435;0.05
0.38;0.5;0.405;0.05125
0.36;0.48;0.39;0.0475
0.38;0.5;0.365;0.03375
0.4;0.48;0.335;0.025
0.42;0.46;0.36;0.01375
0.44;0.44;0.415;0.01875
0.46;0.42;0.39;0.01625
0.44;0.4;0.445;0.015
0.46;0.42;0.45;0.035
0.44;0.44;0.47;0.04375
0.42;0.42;0.475;0.0375
0.44;0.4;0.46;0.0475
0.46;0.38;0.53;0.0475
0.44;0.36;0.5;0.0475
0.46;0.34;0.555;0.03875
0.44;0.36;0.55;0.0575
0.42;0.38;0.555;0.05625
0.4;0.4;0.515;0.0675
0.42;0.42;0.515;0.05875
0.44;0.4;0.52;0.0475
